filename,round
10_11_2018__14_22_27_0.txt,0
10_11_2018__14_35_26_0.txt,0
10_11_2018__14_36_13_0.txt,6
10_11_2018__14_39_21_0.txt,0
10_11_2018__14_39_41_0.txt,6
10_11_2018__14_41_37_0.txt,6
10_11_2018__14_46_34_0.txt,0
10_11_2018__14_48_32_0.txt,6
10_11_2018__14_52_44_0.txt,6
10_11_2018__14_59_43_0.txt,0
10_11_2018__15_14_26_0.txt,0
10_11_2018__15_14_7_0.txt,0
10_11_2018__15_23_39_0.txt,6
10_11_2018__16_43_9_0.txt,0
10_11_2018__16_9_29_0.txt,0
11_11_2018__0_27_18_0.txt,0
11_11_2018__0_29_45_0.txt,6
11_11_2018__0_31_12_0.txt,6
11_11_2018__0_31_52_0.txt,6
11_11_2018__0_31_54_0.txt,0
11_11_2018__0_34_4_0.txt,6
11_11_2018__0_40_39_0.txt,6
11_11_2018__0_46_11_0.txt,6
11_11_2018__0_46_40_0.txt,0
11_11_2018__0_46_9_0.txt,0
11_11_2018__0_48_34_0.txt,6
11_11_2018__17_10_9_0.txt,0
11_11_2018__18_21_23_0.txt,6
11_11_2018__18_21_23_1.txt,6
11_11_2018__1_15_49_0.txt,0
11_11_2018__1_41_2_0.txt,0
11_11_2018__1_5_16_0.txt,6
11_11_2018__1_7_14_0.txt,0
11_11_2018__1_8_55_0.txt,6
11_11_2018__2_16_4_0.txt,0
11_11_2018__2_26_28_0.txt,0
11_11_2018__2_36_20_0.txt,0
11_11_2018__2_36_32_0.txt,0
11_11_2018__3_3_2_0.txt,0
11_11_2018__3_8_25_0.txt,6
11_11_2018__4_14_56_0.txt,0
11_11_2018__5_24_27_0.txt,0
11_11_2018__5_50_1_0.txt,0
1_11_2018__14_31_39_0.txt,2
1_11_2018__14_31_39_1.txt,5
1_11_2018__1_36_20_0.txt,6
1_11_2018__1_36_55_0.txt,6
1_11_2018__1_40_26_0.txt,6
1_11_2018__1_43_43_0.txt,6
1_11_2018__1_47_14_0.txt,6
1_11_2018__1_53_15_0.txt,6
1_11_2018__23_21_39_0.txt,0
1_11_2018__2_1_48_0.txt,0
1_11_2018__2_2_27_0.txt,0
1_11_2018__2_3_25_0.txt,6
1_11_2018__2_4_35_0.txt,6
1_11_2018__2_6_4_0.txt,0
1_11_2018__2_6_54_0.txt,6
26_10_2018__12_25_2_0.txt,0
26_10_2018__12_28_16_0.txt,0
26_10_2018__12_44_23_0.txt,2
26_10_2018__13_12_43_0.txt,0
26_10_2018__13_40_24_0.txt,6
26_10_2018__13_55_19_0.txt,0
26_10_2018__13_57_34_0.txt,6
26_10_2018__14_0_18_0.txt,6
26_10_2018__14_11_30_0.txt,0
26_10_2018__14_12_57_0.txt,0
27_10_2018__0_34_52_0.txt,0
27_10_2018__0_40_5_0.txt,6
27_10_2018__0_42_38_0.txt,6
27_10_2018__0_46_0_0.txt,0
27_10_2018__1_11_32_0.txt,6
27_10_2018__1_11_52_0.txt,6
27_10_2018__1_14_4_0.txt,0
27_10_2018__1_22_0_0.txt,0
27_10_2018__1_27_17_0.txt,6
27_10_2018__1_41_4_0.txt,0
27_10_2018__1_42_24_0.txt,6
27_10_2018__1_46_32_0.txt,6
27_10_2018__1_47_20_0.txt,0
27_10_2018__1_51_52_0.txt,0
27_10_2018__1_53_14_0.txt,0
27_10_2018__2_0_24_0.txt,0
27_10_2018__2_21_1_0.txt,0
27_10_2018__2_47_55_0.txt,0
27_10_2018__3_43_37_0.txt,0
29_10_2018__0_35_27_0.txt,0
29_10_2018__15_34_42_0.txt,2
29_10_2018__15_58_20_0.txt,3
29_10_2018__16_56_22_0.txt,6
29_10_2018__1_15_27_0.txt,0
2_10_2018__20_15_49_0.txt,6
2_10_2018__22_29_32_0.txt,6
2_11_2018__13_37_27_0.txt,0
2_11_2018__13_42_30_0.txt,6
2_11_2018__14_26_22_0.txt,0
2_11_2018__14_29_9_0.txt,6
2_11_2018__14_3_53_0.txt,0
2_11_2018__1_38_29_0.txt,0
2_11_2018__1_40_16_0.txt,6
2_11_2018__1_42_58_0.txt,0
2_11_2018__1_43_9_0.txt,0
2_11_2018__1_44_14_0.txt,1
2_11_2018__1_48_2_0.txt,6
2_11_2018__2_0_36_0.txt,6
2_11_2018__2_13_0_0.txt,6
2_11_2018__2_13_46_0.txt,0
30_10_2018__19_43_46_0.txt,2
30_10_2018__1_14_38_0.txt,0
31_10_2018__13_54_53_0.txt,0
31_10_2018__14_17_54_0.txt,0
31_10_2018__14_24_38_0.txt,6
31_10_2018__14_8_54_0.txt,0
31_10_2018__15_32_40_0.txt,0
31_10_2018__15_38_24_0.txt,0
3_11_2018__14_23_32_0.txt,0
3_11_2018__14_25_20_0.txt,0
3_11_2018__14_40_58_0.txt,6
3_11_2018__14_41_26_0.txt,0
3_11_2018__14_41_59_0.txt,6
3_11_2018__15_14_56_0.txt,6
3_11_2018__15_18_0_0.txt,0
3_11_2018__15_27_53_0.txt,0
3_11_2018__15_27_58_0.txt,0
3_11_2018__15_2_6_0.txt,6
3_11_2018__15_3_48_0.txt,6
3_11_2018__19_19_19_0.txt,0
3_11_2018__19_36_57_0.txt,6
3_11_2018__19_37_10_0.txt,6
3_11_2018__19_39_26_0.txt,6
3_11_2018__19_42_28_0.txt,6
3_11_2018__19_46_11_0.txt,6
3_11_2018__19_48_26_0.txt,2
3_11_2018__19_49_58_0.txt,6
3_11_2018__19_55_56_0.txt,6
3_11_2018__19_57_3_0.txt,6
3_11_2018__1_19_51_0.txt,1
3_11_2018__1_30_52_0.txt,6
3_11_2018__1_37_39_0.txt,6
3_11_2018__1_38_25_0.txt,6
3_11_2018__1_38_7_0.txt,6
3_11_2018__1_39_53_0.txt,6
3_11_2018__1_44_29_0.txt,6
3_11_2018__1_45_23_0.txt,6
3_11_2018__1_50_26_0.txt,0
3_11_2018__1_51_48_0.txt,6
3_11_2018__1_58_29_0.txt,6
3_11_2018__1_58_46_0.txt,6
3_11_2018__1_59_30_0.txt,6
3_11_2018__20_1_22_0.txt,6
3_11_2018__20_22_46_0.txt,6
3_11_2018__20_38_39_0.txt,6
3_11_2018__20_4_18_0.txt,0
3_11_2018__21_24_24_0.txt,6
3_11_2018__2_13_43_0.txt,0
3_11_2018__2_17_9_0.txt,6
3_11_2018__2_31_6_0.txt,6
3_11_2018__2_32_24_0.txt,6
4_11_2018__15_23_0_0.txt,0
4_11_2018__15_37_57_0.txt,6
4_11_2018__15_41_50_0.txt,6
4_11_2018__15_44_47_0.txt,0
4_11_2018__16_0_55_0.txt,0
4_11_2018__16_21_54_0.txt,0
4_11_2018__19_4_16_0.txt,0
4_11_2018__20_23_0_0.txt,1
4_11_2018__20_31_56_0.txt,6
4_11_2018__20_32_58_0.txt,6
4_11_2018__20_35_47_0.txt,6
4_11_2018__20_40_49_0.txt,6
4_11_2018__20_42_19_0.txt,6
4_11_2018__20_45_12_0.txt,6
4_11_2018__20_47_21_0.txt,0
4_11_2018__20_52_44_0.txt,6
4_11_2018__20_53_43_0.txt,6
4_11_2018__20_56_57_0.txt,6
4_11_2018__21_10_12_0.txt,0
4_11_2018__21_14_5_0.txt,6
4_11_2018__22_45_19_0.txt,0
4_11_2018__23_16_34_0.txt,0
4_11_2018__23_34_35_0.txt,0
5_11_2018__13_22_8_0.txt,0
5_11_2018__14_13_3_0.txt,0
5_11_2018__14_40_24_0.txt,0
5_11_2018__15_1_49_0.txt,0
5_11_2018__15_2_47_0.txt,0
5_11_2018__15_30_46_0.txt,0
5_11_2018__16_0_51_0.txt,0
5_11_2018__1_57_43_0.txt,0
5_11_2018__20_39_31_0.txt,0
5_11_2018__21_50_54_0.txt,0
5_11_2018__22_25_16_0.txt,0
5_11_2018__23_4_2_0.txt,0
5_11_2018__2_43_51_0.txt,6
7_11_2018__16_24_2_0.txt,0
7_11_2018__16_31_27_0.txt,0
7_11_2018__16_32_10_0.txt,6
7_11_2018__16_32_13_0.txt,6
7_11_2018__16_33_9_0.txt,6
7_11_2018__16_34_29_0.txt,6
7_11_2018__16_35_8_0.txt,6
7_11_2018__16_37_17_0.txt,0
7_11_2018__16_37_5_0.txt,6
7_11_2018__16_41_20_0.txt,6
7_11_2018__16_41_21_0.txt,6
7_11_2018__16_47_34_0.txt,6
7_11_2018__16_48_18_0.txt,6
7_11_2018__16_49_38_0.txt,6
7_11_2018__16_52_19_0.txt,6
7_11_2018__16_52_42_0.txt,6
7_11_2018__16_52_51_0.txt,6
7_11_2018__16_57_8_0.txt,6
7_11_2018__16_59_37_0.txt,6
7_11_2018__17_0_46_0.txt,0
7_11_2018__17_10_56_0.txt,6
7_11_2018__17_11_10_0.txt,6
7_11_2018__17_11_15_0.txt,0
7_11_2018__17_13_22_0.txt,0
7_11_2018__17_17_30_0.txt,6
7_11_2018__17_17_4_0.txt,0
7_11_2018__17_19_58_0.txt,6
7_11_2018__17_24_3_0.txt,6
7_11_2018__17_6_32_0.txt,6
7_11_2018__17_9_2_0.txt,6
7_11_2018__22_55_18_0.txt,6
8_11_2018__13_35_56_0.txt,6
8_11_2018__16_31_11_0.txt,6
8_11_2018__16_31_36_0.txt,6
8_11_2018__16_33_4_0.txt,6
8_11_2018__16_33_57_0.txt,0
8_11_2018__16_35_9_0.txt,6
8_11_2018__16_36_5_0.txt,6
8_11_2018__16_39_44_0.txt,6
8_11_2018__16_42_27_0.txt,0
8_11_2018__16_44_5_0.txt,6
8_11_2018__16_46_39_0.txt,0
8_11_2018__16_52_17_0.txt,6
8_11_2018__16_56_32_0.txt,6
8_11_2018__17_16_11_0.txt,0
8_11_2018__17_29_18_0.txt,0
8_11_2018__17_2_7_0.txt,6
8_11_2018__17_35_22_0.txt,0
8_11_2018__17_54_58_0.txt,0
8_11_2018__17_6_0_0.txt,6
8_11_2018__17_6_50_0.txt,0
8_11_2018__3_18_41_0.txt,1
8_11_2018__3_32_18_0.txt,6
8_11_2018__3_33_19_0.txt,6
8_11_2018__3_37_36_0.txt,6
8_11_2018__3_37_40_0.txt,6
8_11_2018__3_39_47_0.txt,6
8_11_2018__3_40_58_0.txt,6
8_11_2018__3_42_45_0.txt,6
8_11_2018__3_44_14_0.txt,2
8_11_2018__3_44_25_0.txt,0
8_11_2018__3_44_3_0.txt,6
8_11_2018__3_48_59_0.txt,6
8_11_2018__3_50_50_0.txt,6
8_11_2018__3_51_17_0.txt,6
8_11_2018__3_52_52_0.txt,0
8_11_2018__3_55_16_0.txt,6
8_11_2018__3_57_13_0.txt,6
8_11_2018__3_9_49_0.txt,0
8_11_2018__4_11_14_0.txt,0
8_11_2018__4_23_17_0.txt,6
8_11_2018__4_24_52_0.txt,0
8_11_2018__4_2_18_0.txt,0
8_11_2018__4_35_17_0.txt,6
8_11_2018__4_6_52_0.txt,6
8_11_2018__5_45_2_0.txt,0
8_11_2018__9_54_42_0.txt,6
9_11_2018__23_45_2_0.txt,0
9_11_2018__3_31_12_0.txt,6
9_11_2018__3_31_18_0.txt,0
9_11_2018__3_31_57_0.txt,6
9_11_2018__3_34_37_0.txt,6
9_11_2018__3_34_39_0.txt,6
9_11_2018__3_36_36_0.txt,6
9_11_2018__3_37_49_0.txt,6
9_11_2018__3_38_34_0.txt,2
9_11_2018__3_40_17_0.txt,6
9_11_2018__3_42_36_0.txt,6
9_11_2018__3_44_20_0.txt,0
9_11_2018__3_47_14_0.txt,6
9_11_2018__3_52_47_0.txt,0
9_11_2018__3_55_25_0.txt,6
9_11_2018__3_59_26_0.txt,6
9_11_2018__4_21_9_0.txt,0
9_11_2018__4_25_28_0.txt,6
9_11_2018__4_32_15_0.txt,6
9_11_2018__4_50_31_0.txt,0
9_11_2018__4_6_53_0.txt,6
